City_or_Regency,Vaccinated,Fully_Vaccinated,Total,Date,URL,
KOTA SURABAYA,33420,0,33420,1/14/2021,https://twitter.com/KominfoJatim/status/1349335781995806722/photo/1,
KAB GRESIK,5920,0,5920,1/14/2021,https://twitter.com/KominfoJatim/status/1349335781995806722/photo/1,
KAB SIDOARJO,8720,0,8720,1/14/2021,https://twitter.com/KominfoJatim/status/1349335781995806722/photo/1,
KAB LUMAJANG,2960,0,2960,2/1/2021,https://twitter.com/KominfoJatim/status/1356378661759250432/photo,
KAB JOMBANG,4175,0,4175,2/1/2021,https://twitter.com/KominfoJatim/status/1356378661759250432/photo,
KAB BLITAR,2270,0,2270,2/1/2021,https://twitter.com/KominfoJatim/status/1356378661759250432/photo,
KAB BOJONEGORO,3518,0,3518,2/1/2021,https://twitter.com/KominfoJatim/status/1356378661759250432/photo,
KOTA PROBOLINGGO,1413,0,1413,2/1/2021,https://twitter.com/KominfoJatim/status/1356378661759250432/photo,
KAB PONOROGO,2770,0,2770,2/1/2021,https://twitter.com/KominfoJatim/status/1356378661759250432/photo,
KAB BONDOWOSO,2089,0,2089,2/1/2021,https://twitter.com/KominfoJatim/status/1356378661759250432/photo,
KOTA SURABAYA,23352,2268,25620,2/1/2021,https://twitter.com/KominfoJatim/status/1356378661759250432/photo,
KAB BANYUWANGI ,3937,0,3937,2/1/2021,https://twitter.com/KominfoJatim/status/1356378661759250432/photo,
KAB TULUNGAGUNG ,3778,0,3778,2/1/2021,https://twitter.com/KominfoJatim/status/1356378661759250432/photo,
KAB LAMONGAN,3767,0,3767,2/1/2021,https://twitter.com/KominfoJatim/status/1356378661759250432/photo,
KAB JEMBER,5062,42,5104,2/1/2021,https://twitter.com/KominfoJatim/status/1356378661759250432/photo,
KAB MADIUN ,1791,,1791,2/1/2021,https://twitter.com/KominfoJatim/status/1356378661759250432/photo,
KOTA MADIUN ,2675,0,2675,2/1/2021,https://twitter.com/KominfoJatim/status/1356378661759250432/photo,
KAB GRESIK,4460,216,4676,2/1/2021,https://twitter.com/KominfoJatim/status/1356378661759250432/photo,
KAB NGANJUK,2518,0,2518,2/1/2021,https://twitter.com/KominfoJatim/status/1356378661759250432/photo,
KAB NGAWI,2180,0,2180,2/1/2021,https://twitter.com/KominfoJatim/status/1356378661759250432/photo,
KAB SIDOARJO,6304,148,6452,2/1/2021,https://twitter.com/KominfoJatim/status/1356378661759250432/photo,
KAB KEDIRI,3060,,3060,2/1/2021,https://twitter.com/KominfoJatim/status/1356378661759250432/photo,
KAB PROBOLINGGO,1858,,1858,2/1/2021,https://twitter.com/KominfoJatim/status/1356378661759250432/photo,
